content,a,b,c,d,correct_option
A solution contains 30% acid. How much pure acid must be added to 40 liters of this solution to make it 50% acid?,20 liters,10 liters,15 liters,25 liters,A
"Two persons can do a piece of work in 9 days. They work together for 4 days, then the first person alone finishes the remaining work in 10 days. How long will the second person alone take to do the work?",18 days,15 days,20 days,22 days,C
"A, B, and C can complete a work in 6, 8, and 12 days respectively. How long will they take to finish the work if all work together?",2 days,3 days,4 days,5 days,B
"If the symbol '+' means multiplication, '-' means addition, '×' means subtraction, and '÷' means division, what is the value of 6 + 4 - 2 × 8 ÷ 2?",4,14,2,16,A
"In a certain code, '+' stands for division, '−' stands for multiplication, '×' stands for addition, and '÷' stands for subtraction. Find the value of 8 + 12 − 6 × 4 ÷ 2.",20,16,10,24,B
"If in an expression '@' means addition, '#' means subtraction, '$' means multiplication, and '&' means division, what is the value of 5 $ 3 @ 8 # 6 & 2?",21,13,18,22,A
"In an expression, '+' means subtraction, '−' means division, '×' means addition, and '÷' means multiplication. Find the value of 24 ÷ 4 + 10 − 2 × 3.",26,23,21,18,B
"If '*' means addition, '&' means subtraction, '@' means multiplication, and '#' means division, what is the result of 9 # 3 * 5 & 4 @ 2?",11,15,25,23,A
Two workers A and B can do a job in 18 days. A alone can do it in 30 days. How long will B alone take to do the job?,45 days,54 days,60 days,48 days,A
"In a coded expression, '+' means subtraction, '-' means addition, '×' means division, and '÷' means multiplication. Calculate the value of 18 + 6 - 3 × 9 ÷ 3.",15,20,9,12,D
"If in a mathematical operation, '+' means division, '−' means subtraction, '×' means addition, and '÷' means multiplication, find the result of 30 - 5 + 10 × 2 ÷ 4.",13,25,20,15,B
"Given '+' stands for division, '−' stands for multiplication, '×' stands for subtraction, and '÷' stands for addition, what is the value of 36 ÷ 6 + 2 − 4 × 3?",10,12,24,18,D
"In a certain system, '+' means addition, '-' means multiplication, '×' means division, and '÷' means subtraction. Calculate 8 - 2 + 12 × 3 ÷ 6.",14,26,12,8,A
"A alone can do a work in 20 days, B alone in 30 days. They work together but B leaves after 5 days. How many more days will A take to finish the work?",12 days,15 days,10 days,18 days,A
A and B can do a work in 15 days and 20 days respectively. They start the work together but B leaves after 5 days. How long will A take to finish the remaining work?,12 days,15 days,18 days,20 days,B
"If A takes twice as much time as B to complete a work, and together they finish in 12 days, how long does B take to complete the work alone?",18 days,16 days,20 days,24 days,A
"A and B can do a job in 24 days working together. If A is twice as efficient as B, in how many days can A finish the work alone?",36 days,32 days,16 days,18 days,C
"Three workers A, B, and C can do a piece of work in 12, 15, and 20 days respectively. If they work together for 4 days, how much fraction of the work is left?",1/5,1/6,1/4,1/3,B
A jeweler mixes 12 grams of gold at 18 carats with some gold at 24 carats to get 20 carat gold. How much gold at 24 carats is used?,8 grams,6 grams,7 grams,10 grams,B
"If two tangents are drawn from an external point to a circle and the length of one tangent is 12 cm, what is the length of the other tangent?",12 cm,24 cm,6 cm,Cannot be determined,A
"Two chords AB and CD intersect each other inside a circle. If the segments are such that AE = 3 cm, EB = 5 cm, and CE = 2 cm, what is the length of ED?",6 cm,7.5 cm,8 cm,5 cm,B
"Two secants PA and PB are drawn from an external point P to a circle such that PA = 8 cm, PB = 6 cm, and one segment of the second secant PC = 4 cm. Find the length of PD.",12 cm,9 cm,10 cm,8 cm,B
Calculate the value of 12 + 6 × (5 - 2) ÷ 3.,18,20,14,16,A
Cup is to Coffee as Plate is to:,Food,Water,Tea,Soup,A
"In a circle, two chords AB and CD are equal in length and are equidistant from the center. If AB = 16 cm, what is the distance between the chords?",Cannot be determined,Equal to the sum of their distances from the center,Equal to twice the distance from the center to either chord,Equal to the difference of their distances from the center,C
Find the value of 48 ÷ 6 + 3 × 4 - 5.,15,13,17,11,B
"From a point outside a circle, two secants intersect the circle at points A, B and C, D respectively such that PA × PB = 48 and PC × PD = 75. What is the relationship between the lengths?",PA × PB = PC × PD,PA × PB > PC × PD,PA × PB < PC × PD,No relationship,D
"If a tangent and a chord intersect at point P on a circle, and the angle between the tangent and chord is 40°, what is the measure of the angle subtended by the chord in the alternate segment?",40°,50°,90°,80°,A
Evaluate (18 ÷ 3) × (4 + 2) - 5 × 3.,13,9,15,21,A
What is the result of 25 - 3 × (7 - 4) + 8 ÷ 2?,18,15,22,20,A
Simplify 36 ÷ (3 × 2) + 5 × (4 - 1).,17,19,15,21,B
Calculate the value of 50 - [6 + 2 × (3 + 4)] ÷ 2.,39,43,45,41,D
Find the value of (8 + 2 × 5) ÷ 3 + 7 × 2.,20,21,22,19,C
Evaluate 100 ÷ (5 × 2) + (8 - 3) × 4.,24,28,26,30,B
Simplify (45 - 15) ÷ 3 + 2 × (9 - 6).,19,18,21,20,A
What is the value of 7 + 3 × [12 ÷ (3 + 1)] - 5?,11,13,15,9,A
Two solutions containing 10% and 30% alcohol are mixed. What should be the ratio of the two solutions to get 20% alcohol?,1:1,2:1,1:2,3:1,A
"A milkman has two containers, one contains milk 80% pure and the other 60% pure. How much of each should be mixed to get 70% pure milk?",1:1,2:1,1:2,3:1,A
"A merchant mixes two varieties of sugar costing ₹30 and ₹40 per kg respectively. If he wants to make a profit of 20% by selling the mixture at ₹48 per kg, in what ratio should he mix the two varieties?",2:3,3:2,1:1,1:2,B
The atomic number of an element in the periodic table represents the number of which particles in its atom?,Protons,Neutrons,Electrons,Neutrinos,A
Select the word closest in meaning to 'Benevolent'.,Kind,Cruel,Selfish,Rude,A
Find the synonym of 'Concur'.,Agree,Disagree,Deny,Oppose,A
Identify the synonym of 'Deteriorate'.,Worsen,Improve,Enhance,Develop,A
Choose the synonym of 'Eminent'.,Famous,Unknown,Ordinary,Insignificant,A
Select the synonym of 'Frugal'.,Economical,Wasteful,Lavish,Extravagant,A
Cold is to Hot as Winter is to:,Summer,Rainy,Spring,Autumn,A
Find the synonym of 'Gregarious'.,Sociable,Shy,Reserved,Introverted,A
Identify the synonym of 'Harbinger'.,Forerunner,Follower,Successor,Descendant,A
Choose the word which is a synonym of 'Impartial'.,Unbiased,Partial,Prejudiced,Biased,A
Select the synonym of 'Juxtapose'.,Place side by side,Separate,Isolate,Divide,A
"A and B invest in a business with capitals in the ratio 3:5. If the total profit is Rs. 800, what is A's share of the profit?",Rs. 300,Rs. 500,Rs. 480,Rs. 200,A
"A, B and C invest Rs. 6000, Rs. 8000 and Rs. 10000 respectively in a business. After 6 months, A adds Rs. 2000 more. What is the ratio of their investments for profit sharing?",7:8:10,9:8:10,7:8:15,9:8:15,D
"Two partners A and B invested Rs. 12000 and Rs. 18000 respectively. After 4 months, A withdrew Rs. 2000. What is the ratio of their investments for profit sharing at the end of the year?",22:27,24:27,44:45,48:54,A
"A chemist has two solutions of acid, 40% and 25%. How many liters of each must be mixed to get 30 liters of 30% acid solution?",10 liters and 20 liters,15 liters and 15 liters,12 liters and 18 liters,20 liters and 10 liters,A
Bird is to Nest as Bee is to:,Flower,Honey,Hive,Pollen,C
Find the value of sec 0°.,1,0,Undefined,∞,A
The value of cot 45° is:,1,0,√3,1/√3,A
What is the total surface area of a cube whose edge length is 6 cm?,216 cm²,144 cm²,36 cm²,72 cm²,B
Evaluate cos 90°.,0,1,1/2,-1,A
"If the surface area of a cube is 150 cm², what is the length of one edge?",5 cm,6 cm,7 cm,8 cm,A
"A cuboid has a length twice its breadth and height thrice its breadth. If the volume is 432 cm³, what is the breadth?",6 cm,4 cm,3 cm,9 cm,C
The diagonal of a cube is 6√3 cm. What is the surface area of the cube?,108 cm²,72 cm²,36 cm²,54 cm²,A
The height of a cuboid is increased by 50% while length and breadth remain the same. By what percentage does the volume increase?,50%,75%,100%,25%,A
"If the total surface area of a cuboid is 94 cm², length is 5 cm, breadth is 3 cm, what is the height?",4 cm,6 cm,3 cm,5 cm,A
"A cube and a cuboid have the same volume. The cuboid's dimensions are 8 cm, 3 cm, and 2 cm. What is the edge of the cube?",4 cm,3 cm,5 cm,6 cm,A
"The ratio of edges of a cuboid is 2:3:4. If its total surface area is 236 cm², what is the volume of the cuboid?",432 cm³,384 cm³,576 cm³,648 cm³,A
A cube is painted on all sides and then cut into 64 smaller cubes of equal size. How many smaller cubes have exactly one painted face?,24,16,8,32,A
"A and B start a business by investing Rs. 5000 and Rs. 7000 respectively. After 4 months, A withdraws Rs. 2000 and B invests an additional Rs. 3000. What is the ratio of their investments for profit sharing?",43:70,42:73,45:70,41:68,A
The periodic law states that the properties of elements are a periodic function of their what?,Atomic number,Atomic mass,Density,Melting point,A
Which award is given annually for outstanding literary work in India?,Jnanpith Award,Bharat Ratna,Sahitya Akademi Award,Padma Shri,A
The Booker Prize is awarded for excellence in which type of literature?,English-language novels,Poetry,Drama,Short stories,A
The Sahitya Akademi Award recognizes literary achievements in how many Indian languages?,24,22,18,14,B
Puppy is to Dog as Kitten is to:,Cat,Lion,Tiger,Wolf,A
Who was the first Indian to win the Nobel Prize in Literature?,Rabindranath Tagore,Salman Rushdie,Arundhati Roy,V. S. Naipaul,A
Which literary award is specifically given for contributions to children's literature in India?,Kendra Sahitya Akademi Award for Children's Literature,Premchand Award,Vyas Samman,Jnanpith Award,A
The Pulitzer Prize is primarily associated with literature from which country?,United States,United Kingdom,Canada,Australia,A
Which Indian literary award is named after a famous Hindi writer and given for excellence in Hindi literature?,Premchand Award,Tagore Award,Vyas Samman,Gyanpeeth Award,A
The Neustadt International Prize for Literature is often referred to as the 'American Nobel'. It is awarded every how many years?,2 years,3 years,1 year,4 years,A
Which award is considered the highest literary honor in the United Kingdom?,Booker Prize,Costa Book Awards,Whitbread Prize,Hugo Award,A
"A, B and C invest Rs. 20000, Rs. 30000 and Rs. 40000 respectively. A withdraws Rs. 5000 after 3 months, B withdraws Rs. 10000 after 6 months. What is the ratio of their investments for profit sharing at the end of the year?",23:27:40,21:27:40,25:28:40,22:28:40,D
"Two partners invest Rs. 24000 and Rs. 36000 in a business. After 6 months, the first partner withdraws Rs. 4000. What is the ratio of their investments for profit sharing after one year?",23:36,22:36,23:35,24:35,C
"A and B start a business by investing Rs. 9000 and Rs. 12000 respectively. After 3 months, A invests an additional Rs. 3000. What is the ratio of their investments for profit sharing at the end of the year?",45:48,42:48,44:48,43:48,A
"If A's investment is Rs. 8000 for 8 months and B's investment is Rs. 12000 for 6 months, what is the ratio of their investments for profit sharing?",4:3,8:9,2:3,3:4,A
"A and B invest Rs. 10000 and Rs. 15000 respectively in a business. After 4 months, A withdraws half of his investment. What is the ratio of their investments for profit sharing at the end of the year?",7:15,8:15,9:15,6:15,A
"A, B and C invest in a business in the ratio 2:3:5. If the total profit is Rs. 1000, what is C's share?",Rs. 500,Rs. 300,Rs. 200,Rs. 400,A
"A container contains a mixture of two liquids A and B in the ratio 3:5. When 16 liters of mixture is drawn out and replaced by liquid B, the ratio becomes 3:7. Find the quantity of the mixture in the container.",40 liters,50 liters,60 liters,30 liters,B
In what ratio must water be mixed with milk costing ₹30 per litre to gain 20% by selling the mixture at ₹36 per litre?,1:5,1:4,1:3,1:2,B
What is the period number of an element that has its outermost electrons in the third shell?,3,2,1,4,A
Which element is located in Period 2 and Group 17 of the periodic table?,Fluorine,Chlorine,Bromine,Iodine,A
"In a 2x2 matrix, if the first row is [5, 7] and the second row is [3, x], and the determinant of the matrix is 8, what is the value of x?",2,3,4,5,A
"In a 3x3 matrix, the second row is the reverse of the first row which is [7, 9, 5]. If the third row is the sum of the first two rows, what is the third row?","[14, 18, 10]","[12, 16, 12]","[10, 14, 16]","[9, 7, 5]",A
"In a 2x2 matrix, the elements are arranged such that the sum of the diagonal elements is 15 and the sum of the off-diagonal elements is 7. If one diagonal element is 9, what is the matrix?","[[9, 3], [4, 6]]","[[9, 4], [3, 6]]","[[6, 4], [3, 9]]","[[6, 3], [4, 9]]",A
"In a 3x3 matrix, if the first row is [x, 2x, 3x], the second row is [2, 4, 6], and the third row is [3, 6, 9], what is the value of x if the matrix is consistent with the pattern?",1,2,3,4,A
"In a 3x3 matrix, each element of the third row is the difference between the corresponding elements of the first and second rows. If the first row is [9, 8, 7] and the second row is [4, 3, 2], what is the third row?","[5, 5, 5]","[13, 11, 9]","[3, 5, 7]","[4, 3, 2]",A
"In an arithmetic progression, the 5th term is 18 and the 9th term is 30. What is the 7th term?",24,22,26,20,A
The 12th term of an arithmetic progression is 50 and the 20th term is 82. Find the 16th term.,66,68,70,64,B
"If the 4th term of an arithmetic progression is 10 and the 10th term is 22, what is the 7th term?",16,14,18,20,A
"In an arithmetic progression, the 3rd term is 15 and the 8th term is 30. Find the missing 5th term.",21,24,18,20,A
The 1st and 6th terms of an arithmetic progression are 7 and 27 respectively. What is the 4th term?,17,18,19,20,A
The 8th term of an arithmetic progression is 65 and the common difference is 5. Find the 3rd term.,40,45,50,35,B
"In an AP, the 10th term is 3 times the 4th term. If the first term is 6, what is the common difference?",3,4,2,5,A
"If the 15th term of an AP is 83 and the 3rd term is 23, what is the 9th term?",53,48,58,50,A
"In an arithmetic progression, the 6th term is twice the 2nd term. If the first term is 5, what is the 10th term?",25,30,35,40,B
The sum of the 4th and 8th terms of an arithmetic progression is 36 and the sum of the 5th and 7th terms is 34. Find the missing 6th term.,17,18,19,20,A
"In the periodic table, elements are arranged in order of increasing what?",Atomic number,Atomic mass,Electronegativity,Density,A
"In a 2x2 matrix, if the product of the elements in the first row is 12 and the sum of the elements in the second row is 9, which of the following matrices fits this condition?","[[3, 4], [5, 4]]","[[2, 6], [7, 2]]","[[1, 12], [6, 3]]","[[4, 3], [2, 7]]",A
"In a 3x3 matrix, the first row is [1, 0, 1], the second row is [0, 1, 0], and the third row is the sum of the first two rows. What is the third row?","[1, 1, 1]","[0, 0, 1]","[1, 0, 0]","[1, 1, 0]",A
"In a 2x2 matrix, if the sum of the elements of the first row equals the product of the elements of the second row and the matrix is [[a, b], [c, d]] with a=2, b=3, c=1, what is d?",5,6,3,4,A
Which group in the periodic table contains the elements known as halogens?,Group 17,Group 1,Group 2,Group 18,A
The Tehri Dam is constructed on which Indian river?,Bhagirathi,Alaknanda,Yamuna,Ganga,A
Which river basin is primarily served by the Hirakud Dam?,Mahanadi,Godavari,Krishna,Cauvery,A
The Sardar Sarovar Project is built on which river?,Narmada,Tapi,Mahi,Sabarmati,A
Which river flows through the river valley project of Nagarjuna Sagar?,Krishna,Godavari,Cauvery,Mahanadi,A
The Indira Gandhi Canal draws water from which river?,Sutlej,Ganga,Narmada,Yamuna,A
Which river is dammed by the Koyna Dam in Maharashtra?,Koyna,Tapi,Godavari,Krishna,A
The Farakka Barrage is built on which river to divert water into the Hooghly River?,Ganges,Brahmaputra,Yamuna,Mahanadi,A
Which project is known as the largest multipurpose river valley project in India?,Bhakra Nangal,Tehri,Nagarjuna Sagar,Sardar Sarovar,A
On which river is the Rihand Dam constructed?,Rihand,Son,Tungabhadra,Mahanadi,A
Simplify the expression: (7/8) - (3/4) + (1/2).,3/8,5/8,7/8,1/8,A
Which wind system is primarily responsible for the monsoon rains in India?,Trade winds,Westerlies,Polar easterlies,Jet streams,A
Which climate zone is characterized by trade winds and is typically found between 5° and 30° latitude?,Tropical zone,Temperate zone,Polar zone,Subtropical zone,A
"What is the name of the cold wind that blows from the land to the sea, especially in winter?",Land breeze,Sea breeze,Monsoon,Trade wind,A
The jet streams are found in which layer of the atmosphere?,Troposphere,Stratosphere,Mesosphere,Thermosphere,A
The phenomenon of reversing wind patterns due to differential heating of land and sea is called what?,Monsoon,Cyclone,Anticyclone,Trade wind,A
Which type of wind is formed when air moves from a high-pressure area over the land to a low-pressure area over the sea during nighttime?,Land breeze,Sea breeze,Chinook wind,Mistral,A
Westerlies are prevailing winds that blow from which general direction in the mid-latitudes?,East to West,West to East,North to South,South to North,B
Which global wind belt is responsible for the formation of deserts around 30 degrees latitude?,Trade winds,Westerlies,Polar easterlies,Horse latitudes,D
The doldrums are regions near the equator characterized by which of the following?,Calm and light winds,Strong and steady winds,Cyclonic storms,Polar winds,A
"Rearrange the following sentences to form a meaningful paragraph. Fixed first sentence: 'The sun is the source of all energy on Earth.' B) It drives the water cycle, which is vital for life. C) Plants convert solar energy into food through photosynthesis. D) This energy also powers the winds and ocean currents.",A B C D,A C B D,A D B C,A B D C,A
A man walks 15 km south and then 20 km east. How far is he from his starting point in a straight line?,25 km,30 km,18 km,35 km,A
A person moves 9 km west and then 12 km north. What is the shortest distance between his initial and final positions?,15 km,21 km,20 km,18 km,A
A person travels 12 km south and then 35 km west. What is the shortest distance from the starting point?,37 km,47 km,43 km,23 km,A
"A man walks 10 km east, then 6 km north, and finally 8 km west. What is the shortest distance from his starting point?",8 km,6 km,10 km,12 km,D
"A person walks 8 km north, then 15 km east, and then 17 km south. Find the shortest distance from the starting point.",10 km,20 km,15 km,25 km,A
"Arrange the sentences in a logical order with the fixed last sentence: A) She studied hard for weeks. B) Finally, she passed the examination with flying colors. C) The exam was very tough. D) She was confident about her preparation.",A D C B,D A C B,C D A B,D C A B,B
A person travels 24 km south and then 7 km east. What is the shortest distance from the starting point?,25 km,31 km,17 km,20 km,A
"A man walks 9 km east, then 40 km north, and then 9 km west. Find the shortest distance from his starting point.",40 km,42 km,50 km,58 km,A
"Rearrange the sentences with the fixed first sentence: 'Technology has transformed the way we communicate.' A) Emails and instant messaging have made communication faster. B) Social media platforms allow us to connect globally. C) Despite this, face-to-face interactions remain important. D) The telephone was an early invention in this field.",A B C D,D A B C,D B A C,D C A B,B
Arrange the sentences with the fixed last sentence: A) The city was known for its rich cultural heritage. B) Tourists visited from all over the world. C) Many festivals and events were held throughout the year. D) The city remained a vibrant hub of activity.,A B C D,B A C D,A C B D,C A B D,C
"Fix the order of the sentences with the first sentence fixed: 'Learning a new language requires patience and practice.' A) It helps in improving communication skills. B) Regular speaking and listening enhance fluency. C) Many people find it challenging at first. D) Over time, it becomes easier to understand and speak.",A C B D,C A B D,C B A D,B C A D,B
"If one root of the quadratic equation x² - 5x + k = 0 is twice the other, what is the value of k?",6,8,10,12,A
The quadratic equation x² - 6x + m = 0 has roots whose sum is 6. What is the value of m if the roots are integers?,8,9,10,11,B
"If the roots of the quadratic equation 2x² - 7x + 3 = 0 are α and β, what is the value of α² + β²?",13/4,29/4,41/4,49/4,B
"If the roots of the quadratic equation x² + px + q = 0 satisfy α + β = -3 and αβ = 2, what is the value of p + q?",-1,1,-5,5,B
The roots of the quadratic equation x² - 4x + 1 = 0 are α and β. Find the value of (1/α) + (1/β).,4,1/4,2,1/2,A
"If the roots of the equation x² + 5x + c = 0 differ by 3, what is the value of c?",6,7,8,9,A
Find the sum of the roots of the quadratic equation 3x² - 9x + 4 = 0.,3,9,1/3,4/3,A
"If the roots of the quadratic equation 4x² - 4kx + 1 = 0 are equal, what is the value of k?",1,2,3,4,B
The quadratic equation with roots 1/(α) and 1/(β) where α and β are roots of x² - 3x + 2 = 0 is:,2x² - 3x + 1 = 0,x² - 3x + 2 = 0,x² - 2x + 3 = 0,x² - x + 2 = 0,A
Rearrange the sentences with the fixed last sentence: A) Scientists conducted extensive research on the disease. B) They discovered its causes and possible treatments. C) Awareness campaigns were launched to educate the public. D) The disease was eventually brought under control.,A B C D,C A B D,A C B D,B A C D,A
Arrange the sentences with the fixed first sentence: 'Global warming is a serious environmental issue.' A) It causes glaciers to melt and sea levels to rise. B) Human activities contribute significantly to this problem. C) Immediate action is required to reduce greenhouse gas emissions. D) The consequences affect weather patterns worldwide.,B A D C,B D A C,A B D C,D B A C,A
Fix the order of sentences with the fixed last sentence: A) The festival is celebrated with great enthusiasm. B) People from different communities come together. C) Various cultural programs and fairs are organized. D) It promotes unity and cultural heritage.,A B C D,B C A D,A C B D,C A B D,C
Arrange the sentences in order with the fixed first sentence: 'Reading books is a beneficial habit.' A) It enhances vocabulary and knowledge. B) It also improves concentration and imagination. C) Many people enjoy reading as a leisure activity. D) Books provide insights into different cultures and ideas.,C A D B,C B A D,C A B D,C D A B,C
Which of the following is the SI unit of temperature?,Kelvin,Celsius,Fahrenheit,Rankine,A
What is the value of cosec 30°?,2,1/2,√3,1,A
A man is standing 50 m away from the base of a tower. The angle of elevation to the top of the tower is 30°. What is the height of the tower?,25 m,50 m,100 m,86.6 m,A
"From a point on the ground, the angle of elevation of the top of a tower is 45°. If the height of the tower is 100 m, what is the distance of the point from the foot of the tower?",100 m,141.4 m,70.7 m,200 m,A
"The angle of elevation of the top of a building from a point on the ground is 60°. If the observer moves 20 m towards the building, the angle of elevation becomes 30°. What is the height of the building?",20 m,10√3 m,20√3 m,30 m,C
What does CPU stand for in computer terminology?,Central Processing Unit,Computer Personal Unit,Central Power Unit,Control Processing Unit,A
Which memory is volatile and loses data when the computer is turned off?,RAM,ROM,Hard Disk,Flash Drive,A
What type of software is a web browser?,Application Software,System Software,Utility Software,Firmware,A
Which device is used to permanently store large amounts of data?,Hard Disk Drive,RAM,CPU,Monitor,A
What does URL stand for in internet terminology?,Uniform Resource Locator,Universal Resource Link,Uniform Reference Location,Universal Reference Link,A
Which of the following is NOT an example of storage device?,CPU,Hard Disk,Flash Drive,CD-ROM,A
What is BIOS in a computer system?,Basic Input Output System,Binary Input Output System,Basic Internal Operating System,Binary Internal Operating System,A
Which language is directly understood by the computer hardware?,Machine Language,High-Level Language,Assembly Language,Python,A
A tree is broken by wind and the top touches the ground making an angle of 30° with the ground. The distance from the foot of the tree to the top on the ground is 20 m. Find the original height of the tree.,10 m,20 m,20√3 m,40 m,D
"From the top of a tower 50 m high, the angles of depression of two objects from the base of the tower are 30° and 60°. Find the distance between the two objects.",43.3 m,50 m,36.6 m,25 m,A
"The angle of elevation of the top of a tower from a point on the ground is 45°. If the observer moves 10 m towards the tower, the angle of elevation becomes 60°. Find the height of the tower.",10(√3 + 1) m,10(√3 - 1) m,20 m,15 m,A
"From a point on the ground, the angle of elevation of the top of a tower is 45°. If the height of the tower is 80 m, what is the distance of the point from the base of the tower?",80 m,40 m,100 m,160 m,A
"The angle of elevation of the top of a pole from a point on the ground is 60°. If the height of the pole is 30 m, what is the distance of the point from the foot of the pole?",30√3 m,15 m,30 m,15√3 m,D
A ship is sailing away from a cliff 80 m high. The angle of depression of the ship from the top of the cliff changes from 30° to 60°. Find the distance traveled by the ship.,46.19 m,53.85 m,40 m,60 m,B
"From the top of a tower, the angle of depression of the top and bottom of a building are 30° and 60° respectively. If the tower is 50 m high, find the height of the building.",50 m,25 m,30 m,40 m,A
What is the temperature at which water boils at standard atmospheric pressure?,100°C,90°C,80°C,110°C,A
What is the primary function of DNA polymerase in biotechnology?,Synthesizing new DNA strands,Breaking down proteins,Transporting genetic material,Degrading RNA molecules,A
Which technique is commonly used to amplify small segments of DNA in biotech labs?,Gel electrophoresis,Polymerase chain reaction (PCR),Centrifugation,Chromatography,B
"In nanotechnology, what is the typical size range of nanoparticles?",1 to 100 nanometers,100 to 1000 micrometers,1 to 10 millimeters,10 to 100 centimeters,A
